check_name,step_id,domain,scenario_id,pass_fail,measured_value,threshold,note
forecast_identity_locked,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0.0,<=1e-12,max forecast_metric delta across interface arms within each seed x friction
forecast_identity_locked,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,na,,na,Q2 different-forecast package
friction_sweep_order_preserved,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0.0|0.25|0.5|1.0,strictly ascending,observed order of friction values in canonical source
friction_sweep_order_preserved,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,0.0|0.25|0.5|1.0,strictly ascending,observed order of friction values in canonical source
interface_expected_match,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,responsive|tempered,responsive|tempered,observed vs expected interface ids
interface_expected_match,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,tempered,tempered,observed vs expected interface ids
min_forecasters_per_seed_friction_ok,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,na,,na,Q1 package
min_forecasters_per_seed_friction_ok,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,4,>=4,raw Q2 per-seed-per-friction minimum forecaster count
no_nan_inf,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0,0,raw Q1 numeric fields
no_nan_inf,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,0,0,raw Q2 numeric fields
no_sign_inversion_from_bug,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,na,,na,Q1 package
no_sign_inversion_from_bug,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,0,0,raw Q2 rank columns should follow descending score order
paired_seeds_aligned,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0,0,expected exactly two interface rows per seed x friction
paired_seeds_aligned,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,0,0,expected one interface and at least four forecasters per seed x friction
positive_friction_gap_emergence,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0.2226211778901178,>0 at any positive friction,Q1 mean_abs_target_executed_gap emergence
positive_friction_gap_emergence,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,0.5,>0 flip-rate delta vs zero,Q2 positive-friction ranking mismatch emergence
source_manifest_hash_present,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,na,,na,non-Step-5 package
source_manifest_hash_present,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,na,,na,non-Step-5 package
target_executed_gap_nonnegative_where_definition_requires,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0.0,>=0,mean_abs_target_executed_gap
target_executed_gap_nonnegative_where_definition_requires,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,na,,na,Q2 package
zero_friction_near_flat,step2,synthetic,step2_synthetic_q1_same_forecast_diff_interface,pass,0.0,<=1e-12,mean_abs_target_executed_gap at friction 0
zero_friction_near_flat,step2,synthetic,step2_synthetic_q2_diff_forecasts_same_interface,pass,flip=0.000000;spearman=1.000000,flip<=0.10 & spearman>=0.80,Step 2 Q2 zero-friction mismatch gate
forecast_identity_locked,step3,portfolio,step3_portfolio_q1_exact_control,pass,0,0,forecast/proposal hash mismatch plus pairing failures
friction_sweep_order_preserved,step3,portfolio,step3_portfolio_q1_exact_control,pass,0.0|0.0005|0.001,strictly ascending,observed order of friction values in canonical source
interface_expected_match,step3,portfolio,step3_portfolio_q1_exact_control,pass,eta_0_5|eta_1_0,eta_0_5|eta_1_0,observed vs expected interface ids
min_forecasters_per_seed_friction_ok,step3,portfolio,step3_portfolio_q1_exact_control,na,,na,Q1 package
no_nan_inf,step3,portfolio,step3_portfolio_q1_exact_control,pass,0,0,exact-control numeric fields
no_sign_inversion_from_bug,step3,portfolio,step3_portfolio_q1_exact_control,na,,na,Q1 package
paired_seeds_aligned,step3,portfolio,step3_portfolio_q1_exact_control,pass,0,0,expected exactly two replay interfaces per universe x seed x kappa
positive_friction_gap_emergence,step3,portfolio,step3_portfolio_q1_exact_control,pass,3/3 universes,3/3 universes,positive-cost recurrence via effect_size_mean > 0
