schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean,prl_prob_mean,vz_mean,alpha_raw_mean,alpha_clamped_mean,emergency_rate,beta_effective_mean
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,1,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,2,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,3,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,4,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,5,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,6,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,7,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,8,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,9,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,10,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,11,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,12,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,13,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,14,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,15,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,16,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,17,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,18,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,19,,,,,,,,,,,,,
1.1,20260125T015607Z_de20c303_seed0_baseline_2db1,baseline,0,20,,,,,,,,,,,,,
