domain,seed,friction_level,interface_id,n_forecasters,forecast_best_set,deployed_best_set,forecast_best_set_size,deployed_best_set_size,forecast_selected_representative,deployed_selected_representative,agreement_flag,selection_disagreement_flag,deployed_gap_of_forecast_selected
synthetic,20,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,21,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,22,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,23,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,24,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,25,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,26,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,27,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,28,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,29,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,30,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,31,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,32,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,33,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,34,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,35,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,36,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,37,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,38,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,39,0.0,tempered,4,naive_last,naive_last,1,1,naive_last,naive_last,True,False,0.0
synthetic,20,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007536700143581612
synthetic,21,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009840300222938997
synthetic,22,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.010681675606575791
synthetic,23,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009597627530558511
synthetic,24,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.011313592047577592
synthetic,25,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00846592092952271
synthetic,26,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00865025956279479
synthetic,27,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.010155493809008403
synthetic,28,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008554547808100305
synthetic,29,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007853075658478703
synthetic,30,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.01075433541535209
synthetic,31,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.011075623773081189
synthetic,32,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008745931099722812
synthetic,33,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00826133232059971
synthetic,34,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.011128087433155201
synthetic,35,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008964383858679995
synthetic,36,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.011135041714949195
synthetic,37,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009538341449525395
synthetic,38,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.010253302608058998
synthetic,39,0.25,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009278966457256302
synthetic,20,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.005947230339687401
synthetic,21,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008444354257433007
synthetic,22,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009434537273004098
synthetic,23,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008133767305832595
synthetic,24,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009696870536695601
synthetic,25,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.0072603402078979945
synthetic,26,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006842078909803109
synthetic,27,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008554731915189392
synthetic,28,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006872051524877604
synthetic,29,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006418066092812896
synthetic,30,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009326976216217198
synthetic,31,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00980426250543781
synthetic,32,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007533549722886987
synthetic,33,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.0066915809504789064
synthetic,34,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009601551214542703
synthetic,35,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007299703122558607
synthetic,36,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.009997835115781409
synthetic,37,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008155170139271
synthetic,38,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00890573635688019
synthetic,39,0.5,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007834529950524902
synthetic,20,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.004556117889346095
synthetic,21,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007688649810386111
synthetic,22,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008177568793548112
synthetic,23,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006918687210079405
synthetic,24,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00826779879596079
synthetic,25,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006634156030154603
synthetic,26,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.005214924641509411
synthetic,27,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.007103272671425298
synthetic,28,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.005367533993097501
synthetic,29,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.005325447855540788
synthetic,30,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.00821414552491112
synthetic,31,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008959774009895005
synthetic,32,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.006496663766691585
synthetic,33,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.005281547650719892
synthetic,34,1.0,tempered,4,naive_last,noisy_overreactive,1,1,naive_last,noisy_overreactive,False,True,0.008231512844742522
