seed,friction_level,forecast_selected_representative,deployed_selected_representative,agreement_flag,selection_disagreement_flag,deployed_gap_of_forecast_selected
0,0.0,reactive_short,reactive_short,True,False,0.0
0,0.5,reactive_short,lagged_smoother,False,True,7.4523809523809526
0,1.0,reactive_short,lagged_smoother,False,True,26.06547619047619
1,0.0,reactive_short,reactive_short,True,False,0.0
1,0.5,reactive_short,lagged_smoother,False,True,8.964285714285715
1,1.0,reactive_short,lagged_smoother,False,True,27.571428571428584
2,0.0,reactive_short,reactive_short,True,False,0.0
2,0.5,reactive_short,lagged_smoother,False,True,7.456845238095238
2,1.0,reactive_short,lagged_smoother,False,True,25.456845238095234
3,0.0,reactive_short,reactive_short,True,False,0.0
3,0.5,reactive_short,lagged_smoother,False,True,8.927083333333332
3,1.0,reactive_short,lagged_smoother,False,True,27.802083333333343
4,0.0,reactive_short,reactive_short,True,False,0.0
4,0.5,reactive_short,lagged_smoother,False,True,4.8080357142857135
4,1.0,reactive_short,lagged_smoother,False,True,21.260416666666657
5,0.0,reactive_short,reactive_short,True,False,0.0
5,0.5,reactive_short,lagged_smoother,False,True,6.976190476190476
5,1.0,reactive_short,lagged_smoother,False,True,24.30952380952381
6,0.0,reactive_short,reactive_short,True,False,0.0
6,0.5,reactive_short,lagged_smoother,False,True,5.592261904761904
6,1.0,reactive_short,lagged_smoother,False,True,23.223214285714278
7,0.0,reactive_short,reactive_short,True,False,0.0
7,0.5,reactive_short,lagged_smoother,False,True,7.6875
7,1.0,reactive_short,lagged_smoother,False,True,23.99107142857143
8,0.0,reactive_short,reactive_short,True,False,0.0
8,0.5,reactive_short,lagged_smoother,False,True,6.760416666666667
8,1.0,reactive_short,lagged_smoother,False,True,24.39136904761905
9,0.0,reactive_short,reactive_short,True,False,0.0
9,0.5,reactive_short,lagged_smoother,False,True,5.949404761904762
9,1.0,reactive_short,lagged_smoother,False,True,23.461309523809526
10,0.0,reactive_short,reactive_short,True,False,0.0
10,0.5,reactive_short,lagged_smoother,False,True,6.558035714285715
10,1.0,reactive_short,lagged_smoother,False,True,24.19494047619048
11,0.0,reactive_short,reactive_short,True,False,0.0
11,0.5,reactive_short,lagged_smoother,False,True,7.230654761904762
11,1.0,reactive_short,lagged_smoother,False,True,24.587797619047613
12,0.0,reactive_short,reactive_short,True,False,0.0
12,0.5,reactive_short,lagged_smoother,False,True,4.87202380952381
12,1.0,reactive_short,lagged_smoother,False,True,22.19940476190476
13,0.0,reactive_short,reactive_short,True,False,0.0
13,0.5,reactive_short,lagged_smoother,False,True,5.177083333333333
13,1.0,reactive_short,lagged_smoother,False,True,21.671130952380963
14,0.0,reactive_short,reactive_short,True,False,0.0
14,0.5,reactive_short,lagged_smoother,False,True,6.0252976190476195
14,1.0,reactive_short,lagged_smoother,False,True,23.769345238095234
15,0.0,reactive_short,reactive_short,True,False,0.0
15,0.5,reactive_short,lagged_smoother,False,True,7.389880952380952
15,1.0,reactive_short,lagged_smoother,False,True,26.044642857142854
16,0.0,reactive_short,reactive_short,True,False,0.0
16,0.5,reactive_short,lagged_smoother,False,True,6.672619047619047
16,1.0,reactive_short,lagged_smoother,False,True,23.136904761904766
17,0.0,reactive_short,reactive_short,True,False,0.0
17,0.5,reactive_short,lagged_smoother,False,True,5.665178571428571
17,1.0,reactive_short,lagged_smoother,False,True,22.319940476190467
18,0.0,reactive_short,reactive_short,True,False,0.0
18,0.5,reactive_short,lagged_smoother,False,True,6.977678571428569
18,1.0,reactive_short,lagged_smoother,False,True,24.51339285714286
19,0.0,reactive_short,reactive_short,True,False,0.0
19,0.5,reactive_short,lagged_smoother,False,True,5.6309523809523805
19,1.0,reactive_short,lagged_smoother,False,True,22.333333333333336
20,0.0,reactive_short,reactive_short,True,False,0.0
20,0.5,reactive_short,lagged_smoother,False,True,7.495535714285716
20,1.0,reactive_short,lagged_smoother,False,True,25.251488095238102
21,0.0,reactive_short,reactive_short,True,False,0.0
21,0.5,reactive_short,lagged_smoother,False,True,7.736607142857143
21,1.0,reactive_short,lagged_smoother,False,True,25.718749999999986
22,0.0,reactive_short,reactive_short,True,False,0.0
22,0.5,reactive_short,lagged_smoother,False,True,8.354166666666668
22,1.0,reactive_short,lagged_smoother,False,True,26.217261904761898
23,0.0,reactive_short,reactive_short,True,False,0.0
23,0.5,reactive_short,lagged_smoother,False,True,5.67708333333333
23,1.0,reactive_short,lagged_smoother,False,True,22.938988095238102
24,0.0,reactive_short,reactive_short,True,False,0.0
24,0.5,reactive_short,lagged_smoother,False,True,7.052083333333333
24,1.0,reactive_short,lagged_smoother,False,True,24.974702380952387
25,0.0,reactive_short,reactive_short,True,False,0.0
25,0.5,reactive_short,lagged_smoother,False,True,6.4851190476190474
25,1.0,reactive_short,lagged_smoother,False,True,24.175595238095234
26,0.0,reactive_short,reactive_short,True,False,0.0
26,0.5,reactive_short,lagged_smoother,False,True,5.428571428571429
26,1.0,reactive_short,lagged_smoother,False,True,22.732142857142854
27,0.0,reactive_short,reactive_short,True,False,0.0
27,0.5,reactive_short,lagged_smoother,False,True,8.169642857142858
27,1.0,reactive_short,lagged_smoother,False,True,26.23511904761905
28,0.0,reactive_short,reactive_short,True,False,0.0
28,0.5,reactive_short,lagged_smoother,False,True,7.0
28,1.0,reactive_short,lagged_smoother,False,True,24.952380952380963
29,0.0,reactive_short,reactive_short,True,False,0.0
29,0.5,reactive_short,lagged_smoother,False,True,8.8125
29,1.0,reactive_short,lagged_smoother,False,True,27.580357142857146
30,0.0,reactive_short,reactive_short,True,False,0.0
30,0.5,reactive_short,lagged_smoother,False,True,8.321428571428571
30,1.0,reactive_short,lagged_smoother,False,True,27.029761904761912
31,0.0,reactive_short,reactive_short,True,False,0.0
31,0.5,reactive_short,lagged_smoother,False,True,8.531250000000002
31,1.0,reactive_short,lagged_smoother,False,True,27.35267857142857
32,0.0,reactive_short,reactive_short,True,False,0.0
32,0.5,reactive_short,lagged_smoother,False,True,5.178571428571429
32,1.0,reactive_short,lagged_smoother,False,True,22.261904761904773
33,0.0,reactive_short,reactive_short,True,False,0.0
33,0.5,reactive_short,lagged_smoother,False,True,4.675595238095238
