seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
0,0.0005,0.2,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.005771648207393065,-0.0007124497864695045,-3.9222926918089374e-05
0,0.001,0.2,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.011543457978708593,-0.00142445470071359,-7.844433189779787e-05
0,0.0005,1.0,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.024522385443788375,-0.003020267985840791,-0.00017003043306670906
0,0.001,1.0,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.04904429620848472,-0.006032549796712111,-0.00034003235900940953
1,0.0005,0.2,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.0064509468324609465,-0.0007953684318272036,-4.4978033265696826e-05
1,0.001,0.2,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.01290185800277377,-0.0015901852161399888,-8.995407733099897e-05
1,0.0005,1.0,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.02761670226115509,-0.00339147945643109,-0.0001984068034184966
1,0.001,1.0,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.055229882358276416,-0.0067729137506477854,-0.0003967747745224001
2,0.0005,0.2,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.005765943118709815,-0.0007127663899221814,-4.047677399790506e-05
2,0.001,0.2,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.011531998393569998,-0.0014250873431790878,-8.095193023560654e-05
2,0.0005,1.0,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.026171226975519213,-0.003222686649789114,-0.00018748674917309915
2,0.001,1.0,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.05234125581740212,-0.006436279167376019,-0.00037493890631959403
3,0.0005,0.2,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.005004013433354881,-0.0006186909666461016,-3.2417222502204024e-05
3,0.001,0.2,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.010008022026805952,-0.0012370444094884914,-6.483340308670316e-05
3,0.0005,1.0,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.0208434539354323,-0.0025717472074858194,-0.00010461776044959348
3,0.001,1.0,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.041686120603789734,-0.005137659107596712,-0.00020922468809639327
4,0.0005,0.2,20260324T075816Z_95b3729b_seed4_prl_6bcf,20260324T075816Z_95b3729b_seed4_prl_6bcf,-0.005479722662542708,-0.0006766955509271977,-4.39263741274995e-05
4,0.001,0.2,20260324T075816Z_95b3729b_seed4_prl_6bcf,20260324T075816Z_95b3729b_seed4_prl_6bcf,-0.010959566059102421,-0.0013529924669541948,-8.78508636511996e-05
4,0.0005,1.0,20260324T075816Z_95b3729b_seed4_prl_6bcf,20260324T075816Z_95b3729b_seed4_prl_6bcf,-0.023501575415992182,-0.002893726605212893,-0.0001852469142392954
