ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction
AAPL,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
AMGN,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
AXP,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
BA,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
CAT,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
CRM,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
CSCO,False,DOWNLOAD_FAILED,1.0,0,,,,
CVX,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
DIS,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
GS,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
HD,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
HON,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
IBM,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
INTC,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
JNJ,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
JPM,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
KO,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
MCD,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
MMM,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
MRK,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
MSFT,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
NKE,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
PG,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
TRV,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
UNH,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
V,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
VZ,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
WMT,False,FIRST_DATE_TOO_LATE,0.0,2513,2016-01-04,,,
DOW,False,FIRST_DATE_TOO_LATE,0.32113012335853564,1706,2019-03-20,,,
