ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
AAPL,True,,0.0,4078,2010-01-04,0.017723265974702838,0.15328838258086194,0.00196174595389897,153,0.03616166390924131,4231,4078
AMGN,True,,0.0,4078,2010-01-04,0.01544413595072191,0.11817970940063204,0.0014713094654242277,153,0.03616166390924131,4231,4078
AXP,True,,0.0,4078,2010-01-04,0.01838767664627096,0.2188222891222127,0.0034330554193231977,153,0.03616166390924131,4231,4078
BA,True,,0.0,4078,2010-01-04,0.022571678047946134,0.24318605379189218,0.0024521824423737125,153,0.03616166390924131,4231,4078
CAT,True,,0.0,4078,2010-01-04,0.018492885536774008,0.14282191582805082,0.0017165277096615988,153,0.03616166390924131,4231,4078
CRM,True,,0.0,4078,2010-01-04,0.022732216019318997,0.2604492032035557,0.002697400686611084,153,0.03616166390924131,4231,4078
CSCO,True,,0.0,4078,2010-01-04,0.01631181661013406,0.16210699566286502,0.013241785188818049,153,0.03616166390924131,4231,4078
CVX,True,,0.0,4078,2010-01-04,0.016762146508151218,0.2274067389019634,0.0031878371750858263,153,0.03616166390924131,4231,4078
DIS,True,,0.0,4078,2010-01-04,0.016610213171426712,0.14412317556739773,0.005149583128984796,153,0.03616166390924131,4231,4078
GS,True,,0.0,4078,2010-01-04,0.01818853528341982,0.1758031017768864,0.000980872976949485,153,0.03616166390924131,4231,4078
HD,True,,0.0,4078,2010-01-04,0.014631609720064175,0.19793866924705428,0.0034330554193231977,153,0.03616166390924131,4231,4078
HON,True,,0.0,4078,2010-01-04,0.014482947023910649,0.15068372337912317,0.002697400686611084,153,0.03616166390924131,4231,4078
IBM,True,,0.0,4078,2010-01-04,0.014672559351574625,0.13147455699610955,0.002697400686611084,153,0.03616166390924131,4231,4078
INTC,True,,0.0,4078,2010-01-04,0.022586763357652032,0.2605851455985698,0.010053948013732222,153,0.03616166390924131,4231,4078
JNJ,True,,0.0,4078,2010-01-04,0.01064533220653676,0.10037883632167832,0.0063756743501716525,153,0.03616166390924131,4231,4078
JPM,True,,0.0,4078,2010-01-04,0.01736476741165703,0.18012472115810474,0.005149583128984796,153,0.03616166390924131,4231,4078
KO,True,,0.0,4078,2010-01-04,0.010749490921126812,0.096724573257295,0.010789602746444336,153,0.03616166390924131,4231,4078
MCD,True,,0.0,4078,2010-01-04,0.011687301455698454,0.18125413185662986,0.005149583128984796,153,0.03616166390924131,4231,4078
MMM,True,,0.0,4078,2010-01-04,0.01499495754933158,0.22990618792383932,0.004659146640510054,153,0.03616166390924131,4231,4078
MRK,True,,0.0,4078,2010-01-04,0.01354543513667472,0.10407997221549703,0.00784698381559588,153,0.03616166390924131,4231,4078
MSFT,True,,0.0,4078,2010-01-04,0.01614035852752126,0.14739034205882562,0.006866110838646395,153,0.03616166390924131,4231,4078
NKE,True,,0.0,4078,2010-01-04,0.018260444724581198,0.1998089979892973,0.004413928396272682,153,0.03616166390924131,4231,4078
PG,True,,0.0,4078,2010-01-04,0.010882599605405788,0.12009056240928406,0.006866110838646395,153,0.03616166390924131,4231,4078
UNH,True,,0.0,4078,2010-01-04,0.017481265835254438,0.2237966587638529,0.003678273663560569,153,0.03616166390924131,4231,4078
V,True,,0.0,4078,2010-01-04,0.015646936335540963,0.14997337126542565,0.0029426189308484553,153,0.03616166390924131,4231,4078
VZ,True,,0.0,4078,2010-01-04,0.011865716439766793,0.11831195483536572,0.00980872976949485,153,0.03616166390924131,4231,4078
WMT,True,,0.0,4078,2010-01-04,0.012417479057288655,0.1170854226808069,0.004413928396272682,153,0.03616166390924131,4231,4078
