schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean,prl_prob_mean,vz_mean,alpha_raw_mean,alpha_clamped_mean,emergency_rate,beta_effective_mean
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,1,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,2,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,3,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,4,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,5,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,6,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,7,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,8,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,9,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,10,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,11,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,12,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,13,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,14,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,15,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,16,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,17,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,18,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,19,,,,,,,,,,,,,
1.1,20260121T113808Z_8581a9e8_seed123_baseline_13c7,baseline,123,20,,,,,,,,,,,,,
