schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean,prl_prob_mean,vz_mean,alpha_raw_mean,alpha_clamped_mean,emergency_rate,beta_effective_mean
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,1,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,2,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,3,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,4,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,5,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,6,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,7,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,8,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,9,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,10,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,11,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,12,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,13,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,14,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,15,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,16,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,17,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,18,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,19,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,20,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,21,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,22,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,23,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,24,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,25,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,26,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,27,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,28,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,29,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,30,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,31,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,32,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,33,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,34,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,35,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,36,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,37,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,38,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,39,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,40,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,41,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,42,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,43,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,44,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,45,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,46,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,47,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,48,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,49,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,50,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,51,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,52,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,53,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,54,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,55,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,56,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,57,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,58,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,59,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,60,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,61,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,62,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,63,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,64,,,,,,,,,,,,,
1.1,20260121T114554Z_f5b9282c_seed2_baseline_e690,baseline,2,65,,,,,,,,,,,,,
