seed,regime,delta_sharpe,delta_mdd,delta_turnover,delta_cumret
0,low,-0.09081564027999808,-0.03272634388945431,0.3285078749236887,-0.013299852207298297
1,low,0.36902680647190006,0.01942726525382879,0.3013529167808259,0.062012470377054
2,low,-0.11621082024087492,-0.014681316705180206,0.42629410285283964,-0.010433443390757496
3,low,0.15152752214592158,0.01325836032767199,0.31873265607784584,0.02493130584034528
4,low,0.38426633974633595,0.0182220968254546,0.3985377551468168,0.0554135581014836
0,mid,-0.04874804286253864,0.0011978861989375977,0.31909078466792307,0.004800656255256941
1,mid,-0.10475839480954119,0.010352917198556508,0.3557329992407706,-0.12349936924488647
2,mid,0.8390130101427618,-0.006604245826517502,0.4440672142535652,0.21053929452717873
3,mid,0.2396506648595227,-0.0005107717050083088,0.3303116614422613,0.07101719074534496
4,mid,0.2745664219206252,0.010285800549427598,0.38819021360461337,0.055169445282707175
0,high,-0.31593337458662024,-0.0743508854267011,0.30341422983855637,-0.07714200506801891
1,high,0.7472794947578987,0.1736276133394794,0.3612733268144346,0.21875552034569568
2,high,-0.4708343337523056,-0.0952553363960576,0.3850929482510589,-0.14103324785013852
3,high,0.5823563116353725,0.07370592500602863,0.28477667549468644,0.1608785496025648
4,high,-0.06515423356683431,-0.032887766745383684,0.3830651338248783,-0.01786220339784869
