ticker,reason,first_valid_date,valid_days,raw_missing_fraction
CSCO,DOWNLOAD_FAILED,,0,1.0
AAPL,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
AMGN,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
AXP,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
BA,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
CAT,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
CRM,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
CVX,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
DIS,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
GS,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
HD,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
HON,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
IBM,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
INTC,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
JNJ,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
JPM,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
KO,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
MCD,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
MMM,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
MRK,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
MSFT,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
NKE,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
PG,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
TRV,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
UNH,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
V,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
VZ,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
WMT,FIRST_DATE_TOO_LATE,2016-01-04,2513,0.0
DOW,FIRST_DATE_TOO_LATE,2019-03-20,1706,0.32113012335853564
