metric,n_pairs,baseline_mean,baseline_std,baseline_p25,baseline_median,baseline_p75,baseline_iqr,prl_mean,prl_std,prl_p25,prl_median,prl_p75,prl_iqr,delta_mean,delta_std,delta_p25,delta_median,delta_p75,delta_iqr,regime
sharpe_net_exp,5,1.561869856178179,0.6509043692143922,0.8691812319111272,1.6571659106112344,2.176391898895752,1.3072106669846246,1.4476220642384734,0.9393238042210301,0.8176721499596307,1.2325094832259595,1.5188673202872138,0.7011951703275832,-0.11424779193970555,1.508854124212264,-1.3587197489361211,-0.42465642738527487,0.7566688844835364,2.1153886334196574,low
cumulative_return_net_exp,5,0.11736808446806388,0.05300711648936481,0.0559282964831355,0.1405883446320195,0.1622786713322632,0.10635037484912771,0.10959826533824875,0.07288197771597689,0.0712994622660403,0.0798582172094399,0.1261895017018466,0.054890039435806295,-0.007769819129815123,0.11959216356957823,-0.0961941612690181,-0.0692888823659792,0.07419677028740339,0.1703909315564215,low
max_drawdown_net_exp,5,-0.05540964636704619,0.011171971300683106,-0.0569440161786221,-0.0563694877829974,-0.0520491782002232,0.004894837978398903,-0.06932645081001844,0.011460520748442574,-0.0798606174617112,-0.0697731527582611,-0.0640948072451687,0.01576581021654251,-0.013916804442972237,0.015786865029712716,-0.017723974558037897,-0.008994895399177194,-0.007725319462171296,0.009998655095866602,low
avg_turnover_exec,5,0.04504569311860814,0.026934234099744398,0.020009941669124,0.0405103705187071,0.0737887099728317,0.0537787683037077,0.033018250914473496,0.012595487693275401,0.0208654002095703,0.036793129776672,0.0386197698302653,0.017754369620694998,-0.01202744220413464,0.032723194187330634,-0.0351689401425664,-0.0037172407420351036,-0.0028669908846463005,0.0323019492579201,low
std_daily_net_return_exp,5,0.00713238967018266,0.0014418895433066078,0.006348352451944,0.0064400741377785,0.0069395874170309,0.0005912349650868997,0.007249283561589879,0.0010142462830588631,0.0064379207145461,0.0066869181460776,0.0079025630717457,0.0014646423571995993,0.00011689389140721995,0.002145150659024024,8.956826260209973e-05,0.00024684400829909966,0.0009629756547147993,0.0008734073921126996,low
avg_turnover_target,5,,,,,,,,,,,,,,,,,,,low
sharpe_net_exp,5,1.548013625706615,0.8568558276393459,0.7044539856619857,1.8393032456981355,2.141743011896455,1.437289026234469,0.9210202178592788,0.5380259155554151,0.5111526945992179,0.6867013607056004,1.469669114227879,0.9585164196286612,-0.6269934078473366,1.3392153243891045,-1.6305903172972371,-1.5483355744646121,0.9421562628681867,2.5727465801654237,mid
cumulative_return_net_exp,5,0.14889560226603882,0.10073902000070926,0.0513443227149963,0.14854069383993,0.2392581968734226,0.18791387415842628,0.08466757616322407,0.06398126525812509,0.0345861910780702,0.0558688558760898,0.1248624995211344,0.0902763084430642,-0.06422802610281475,0.1573036521614695,-0.18338934099733278,-0.13045664778654897,0.07351817680613809,0.2569075178034709,mid
max_drawdown_net_exp,5,-0.07374050221203096,0.01689369526459706,-0.0803308082123915,-0.0750863697534268,-0.0623490266986848,0.017981781513706697,-0.07986445655501702,0.021200845327912946,-0.0969466570045824,-0.0893575106354477,-0.072932267826325,0.024014389178257392,-0.0061239543429860615,0.03389154680105008,-0.0361937154420315,-0.014271140882020902,0.027495912771519596,0.06368962821355109,mid
avg_turnover_exec,5,0.04495708719135314,0.027403706550582278,0.0194360977101106,0.041180437622426,0.0751587810207611,0.05572268331065049,0.02545131521177958,0.009526457768162739,0.0189645571145622,0.0293024578343133,0.0296641152480835,0.0106995581335213,-0.01950577197957356,0.02993359384336879,-0.0478309484169174,-0.0118779797881127,-0.008518668850485002,0.0393122795664324,mid
