seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
0,0.0005,0.02,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.00041721835571040256,-6.641756767347684e-05,-9.374298715086882e-06
0,0.001,0.02,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0008344370898822895,-0.00013283127515339999,-1.874849467478623e-05
0,0.0005,0.05,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0010052468676986503,-0.00016000038122321314,-2.331200852159765e-05
0,0.001,0.05,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0020104963978454515,-0.00031997835739641656,-4.662338170449698e-05
0,0.0005,0.082,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.001614185514881128,-0.00025684119452870635,-3.8334668349099266e-05
0,0.001,0.082,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0032283773428979368,-0.0005136246500725139,-7.66676185246229e-05
0,0.0005,0.1,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0019472601480580165,-0.00030978977906448435,-4.67301288800126e-05
0,0.001,0.1,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0038945288457935545,-0.0006194955571836858,-9.345770442509282e-05
0,0.0005,0.2,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.0036877975546569797,-0.0005863846654025895,-8.977883926389318e-05
0,0.001,0.2,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.007375621682463196,-0.0011724683343942999,-0.00017954825131868968
0,0.0005,0.5,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.008436279732918384,-0.0013404617614171943,-0.0001890594490069064
0,0.001,0.5,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.01687279725333979,-0.0026793496467880096,-0.00037807710054499344
0,0.0005,1.0,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.017040656314770808,-0.0027010737002367002,-0.00036075342801319965
0,0.001,1.0,20260402T185055Z_867c0657_seed0_prl_c878,20260402T185055Z_867c0657_seed0_prl_c878,-0.034081960180657456,-0.005395750379654313,-0.0007213547483347071
1,0.0005,0.02,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.0005746368314132333,-9.132769986958111e-05,-1.284877587290345e-05
1,0.001,0.02,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.0011492732549144291,-0.00018264809970919282,-2.5697358666115777e-05
1,0.0005,0.05,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.0013675104767989499,-0.00021741550980450275,-3.137330236430147e-05
1,0.001,0.05,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.0027350188006043386,-0.00043478967424848136,-6.274545404719167e-05
1,0.0005,0.082,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.002171808550930021,-0.00034537709272949857,-5.012485744521067e-05
1,0.001,0.082,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.004343612119176221,-0.000690649890072087,-0.00010024677828940343
1,0.0005,0.1,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.0026079854510090428,-0.0004147907491612035,-6.016872955180719e-05
1,0.001,0.1,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.005215964394307826,-0.0008294310898252222,-0.0001203332282165015
1,0.0005,0.2,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.004860562812946889,-0.0007735216791935895,-0.00010946361856190023
1,0.001,0.2,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.009721128775116106,-0.001546520551225311,-0.00021891324614059515
1,0.0005,0.5,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.010693311557889773,-0.0017013616356658101,-0.00023504621648459678
1,0.001,0.5,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.02138667600005617,-0.0034001951397253094,-0.0004700279559692877
1,0.0005,1.0,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.021127437238454005,-0.0033601412663418206,-0.0004803318339456908
1,0.001,1.0,20260402T193914Z_867c0657_seed1_prl_0690,20260402T193914Z_867c0657_seed1_prl_0690,-0.04225505158608722,-0.006710421623819601,-0.000960394138074111
2,0.0005,0.02,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0005150999539111911,-8.177972400200129e-05,-1.1389589687910151e-05
2,0.001,0.02,20260402T201345Z_867c0657_seed2_prl_f542,20260402T201345Z_867c0657_seed2_prl_f542,-0.0010302004165921863,-0.00016355359180780793,-2.2779027961217224e-05
