seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
0,0.0005,0.5,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.009548880135964222,-0.0015636372268438004,-0.00014414655370220686
0,0.001,0.5,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.01909802644762304,-0.003125186900874405,-0.0002882693423559013
0,0.0005,1.0,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.019155717051213772,-0.0031319875108465067,-0.0002695499103698984
0,0.001,1.0,20260324T065859Z_95b3729b_seed0_prl_a87f,20260324T065859Z_95b3729b_seed0_prl_a87f,-0.038311398559664145,-0.006255602558361606,-0.0005390170952849771
1,0.0005,0.5,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.011089158932557908,-0.0018117098149952882,-0.0001723376755935202
1,0.001,0.5,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.022178344880643186,-0.0036206258514812906,-0.00034464136525300115
1,0.0005,1.0,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.0219389179045133,-0.003579126064543886,-0.00033087485869151556
1,0.001,1.0,20260324T071346Z_95b3729b_seed1_prl_8aee,20260324T071346Z_95b3729b_seed1_prl_8aee,-0.043876917391104886,-0.007147354327112609,-0.0006616246023496974
2,0.0005,0.5,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.010066547254938829,-0.0016470779950550074,-0.00015297347071110967
2,0.001,0.5,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.020133212352221763,-0.003291837920429197,-0.00030592012706079363
2,0.0005,1.0,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.020309769376730458,-0.003315584439526287,-0.0002904848917736902
2,0.001,1.0,20260324T072851Z_95b3729b_seed2_prl_2236,20260324T072851Z_95b3729b_seed2_prl_2236,-0.04061869247504446,-0.006621776778407806,-0.0005808733135267974
3,0.0005,0.5,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.008662638133181577,-0.0014218263312223978,-0.00012984780598560008
3,0.001,0.5,20260324T074332Z_95b3729b_seed3_prl_8165,20260324T074332Z_95b3729b_seed3_prl_8165,-0.01732520924369485,-0.0028419221384018978,-0.00025967626071171646
